LANGUAGE, English, German
STRS_mission_supporter6, "Many many new cars, vehicles, choppers and Planes", "Viele viele neue Autos, Fahrzeuge, Helicopter und Flugzeuge "
STRS_mission_supporter7, "Bagagango Airport with license-shop, air-shop and air-factory", "Bagango Flughafen mit Luftlizenz-shop, Luftfahrzug-shop and Luftfahrzeug Fabrik"
STRS_mission_supporter8, "Cop-Trainings are now required/available for certain vehicles, weapons and equipment", "Cop-Trainings sind jetzt noetig um bestimmte Fahrzuege, Waffen und Equipment zu kaufen"
STRS_mission_supporter9, "Non-Lethal Ammo for stunning with the new Shotgun", "Nicht-toedliche Munition zum stunnen fuer die neue Shotgun "
STRS_mission_supporter10, "Better weather", "Besseres Wetter"

STRS_mission_supporter_addon1, "RobertHammer (permission) and the rest of the RH-Pistols-team", "RobertHammer (erlaubnis) und dem Rest des RH-Pistols-Team"

STRS_mission_supporter_ende, "and many countless more... please look in the forums release-thread for a complete changelog", "und vieles unzaehliges mndere... schaue bitte im Forum in den release thread fuer einen kompletten changelog"

//Pullout

STRS_pullout, "Pull out", "Insassen Rausziehen"

// INVASION
// ############################################################################014

STRS_invasion_start, "WARNING:\n\nEnemy Forces landed near Mercallilo. They're armed and will kill everybody to conquer Bagango. The one who kills their leader, general Guba, is to be highly recompensed! ","WARNUNG:\n\nFeindliche Soldaten sind in der naehe von Mercallilo gelandet. Sie sind bewaffnet und gewillt, jeden umzubringen, um Bagango einzunehmen. Derjenige, der ihren Anfuehrer, General Guba, toetet, soll hoch belohnt werden!"
STRS_invasion_end, "General Guba is dead!","General Guba ist tot!"
STRS_invasion_gubakilled, "Congratulation, you killed Guba. You get $%1 and you have now $%2 in your pocket.","Glueckwunsch, Du hast Guba getoetet. Du kriegst $%1 und hast nun $%2 in deiner Tasche"
STRS_invasion_alldead, "All enemy Forces are dead. Good work!","Alle Feindlichen Soldaten sind tot. Gute Arbeit!"

// PANIC MENU AND EMERGENCY MENU

STRS_emergency_cop_panic_needed, "***ATTENTION ALL UNITS***\n%1 needs support!", "***ACHTUNG AN ALLE EINHEITEN***\n%1 Braucht dringend Unterstuetzung!"
STRS_emergency_cop_panic_needed_not, "%1 no longer needs support.", "%1 Braucht keine Unterstuetzung mehr!"

// CHECK
// ############################################################################003

STRS_check_civ_in_terrorbase, "You entered the Terror-Camp. You are now wanted.", "Du bist in das Terroristenlager gegangen und wirst nun polizeilich gesucht."

STRS_prohibited_area, "Turn around, you are entering a prohibited area!", "Dreh um, du betritst einen gesperrten Bereich!"
STRS_verbotene_zone_teleport, "You entered a prohibited area and have been teleported a few meters back.", "Du bist in eine verbotene Zone eingedrungen und wurdest ein paar meter zurueck teleportiert."

STRS_hunger_verhungern, "You are starving.", "Du bist am Verhungern."
STRS_arbeiter_in_copbase, "One of your Workers was too close to the Policebase, so he has been teleported to the Civhospital.", "Einer deiner Arbeiter war zu nah an der Copbasis, er wurde daher zum Civhospital teleportiert."
STRS_arbeiter_in_terrorbase, "One of your Workers was too close to the Terror-base, so he has been teleported back to the Policebase.", "Einer deiner Arbeiter war zu nah an dem Terroristencamp, er wurde daher zur Polizeibasis teleportiert."

// DEAD
// ############################################################################004

STRS_dead_player_is_dead_civ, "You are dead, you will respawn in %1 seconds. Drugs and Workers are removed if you had them. Your Inventory including your money is now empty, but you keep money stored in the bank as well as your licenses.", "Du bist tot, du wirst in %1 Sekunden wiederbelebt. Alle Drogen und Arbeiter, falls du welche hattest, wurden dir entfernt. Dein Inventar inklusive deines Geldes wurde geleert, auf der Bank gelagertes Geld bleibt aber erhalten, ausserdem behaelst du deine Lizenzen."
STRS_dead_player_is_dead_cop, "You are dead, you will respawn in %1 seconds. Your Inventory including your money you had on you is now empty but any money you had stored in the bank is safe.", "Du bist tot, du wirst in %1 Sekunden wiederbelebt. Dein Inventar inklusive deines Geldes wurde geleert, auf der Bank gelagertes Geld bleibt aber erhalten."
STRS_dead_player_is_dead_terrorist, "You are dead, you will respawn in %1 seconds. Drugs and Workers are removed if you had them. Your Inventory including your money is now empty, but you keep money stored in the bank as well as your licenses. As a active Terrorist you will respawn at CH - to change that again, you have to remove the Terror-training (at Cityhall, Jail or Terror-Hideout)!", "Du bist tot, du wirst in %1 Sekunden wiederbelebt. Alle Drogen und Arbeiter, falls du welche hattest, wurden dir entfernt. Dein Inventar inklusive deines Geldes wurde geleert, auf der Bank gelagertes Geld bleibt aber erhalten, ausserdem behaelst du deine Lizenzen. Als aktiver Terrorist wirst du im Gefaengnis wiederbelebt - um das wieder zu aendern musst du das Terroristen-training ablegen (am Rathaus, im Gefaengnis oder im Terror-camp)!"

// ARBEITER
// ############################################################################005

STRS_arbeiter_zuviele, "You cannot buy another worker because you have already reached the limit.", "Du kannst dir nicht noch einen Arbeiter kaufen, da du schon das Limit erreicht hast."
STRS_arbeiter_nomoney, "You cannot afford a worker. Come back later.", "Du kannst dir keinen Arbieter leisten. Komm spaeter wieder."
STRS_arbeiter_gekauft, "%1, a new worker is on your team. You paid $%2. Bring him to a workplace in order to let him earn some money.", "%1, ein neuer Arbeiter ist nun deinem Team beigetreten. Du hast $%2 bezahlt. Bring ihn zu einem Workplace damit er Geld verdient."
STRS_arbeiter_moneyaction, "Take money from your worker.", "Nimm deinem Arbeiter geld ab."
STRS_arbeiter_tot, "A worker in your team died.", "Ein Arbeiter aus deinem Team ist gestorben."
STRS_arbeiter_moneyabnahme_ja, "You got $%1 from the worker.", "Du hast $%1 von deinem Arbeiter erhalten."
STRS_arbeiter_moneyabnahme_nein, "The worker currently does not have any money.", "Der Arbeiter hat derzeit kein geld."
STRS_arbeiter_meister, "This worker works for %1.", "Dieser Arbeiter arbeitet fuer %1"
STRS_arbeiter_copaction, "Who do you work for?", "Fuer wen arbeitest du?"

// ADDACTION
// ############################################################################007

STRS_dead_menuentry_hints, "Stats", "Statistiken"
STRS_dead_menuentry_inventar, "Inventory", "Inventar"
STRS_dead_menuentry_animation, "Animations", "Animationen"

STRS_addAction_copstorage1, "private Storage", "privates Lager"
STRS_addAction_copstorage2, "public Storage", "gemeinsames Lager"
STRS_addaction_freecam, "Satellite Cam", "Satellitenkamera"
STRS_addaction_defuse, "Defuse bomb", "Bombe entschaerfen"
STRS_addaction_bank_license, "Buy bank insurance $%1", "BankVersicherung kaufen $%1"
STRS_addaction_civcammenu, "Open Civcam", "Civkamera oeffnen"
STRS_addAction_copmenu, "Open Cop Menu", "Copmenu oeffnen"
STRS_addaction_jailcam, "Jailcam", "Gefaengniskamera"
STRS_addaction_buy_drugs, "Open Drug-Buy Menu", "Drogenkaufmenue oeffnen"
STRS_addaction_sell_drugs, "Sell Drugs", "Drogen verkaufen"
STRS_addaction_weather, "Weather Forecast", "Wetterbericht"
STRS_addaction_shootingrange, "Shooting Range $%1", "Schiessstand $%1"
STRS_addaction_prisonrelease, "Wanted/Prison Menu", "Gesucht/Entlassen Menue"
STRS_addaction_bail, "Pay Bail", "Loesegeld zahlen"
STRS_addaction_buy_worker, "Buy Worker $%1", "Arbeiter kaufen $%1"
STRS_addaction_buy_hideout, "Hideout shopping Menu", "Hideout Kaufmenue"
STRS_addaction_race_join, "Join Street Race $%1", "Strassenrennen beitreten $%1"
STRS_addaction_buy_shop, "Buy %1 for $%2", "%1 fuer $%2 kaufen"
STRS_addaction_switch_copmarker, "Switch Cop-marker on/off", "Copmarker Ein-/Ausschalten"
STRS_addaction_radio_on, "Switch Radio On/Off", "Radio Ein/Ausschalten"
STRS_addaction_vehicleinfo, "Vehicle Information", "Fahrzeug Informationen"
STRS_addaction_courierjob, "Get a Courier Job!", "Lieferauftrag annehmen!"
STRS_addaction_hideout_addon1, "Hideout: Medic Add-on $%1", "Hideout: Medic Addon $%1"
STRS_addaction_hideout_addon2, "Hideout: Teleport Add-on $%1", "Hideout: Teleporter Addon $%1"
STRS_addaction_hideout_addon3, "Hideout: On-line Banking Add-on $%1", "Hideout: Online Banking Addon $%1"
STRS_addaction_hideout_addon4, "Repair Hideout $%1", "Hideout Reparieren $%1"
STRS_addaction_hideout_addon5, "Lock Hideout", "Versteck abschliessen"
STRS_addaction_hideout_healaddon_use, "Heal", "Heilen"
STRS_addaction_hideout_bankaddon_use, "On-line Banking", "Online Banking"
STRS_addaction_hideout_ablage, "Hideout Storage", "Hideout Ablage"
STRS_addAction_bank_balance, "Account Balance", "Kontostand"
STRS_addAction_bank_dialog, "Bank Menu", "Bank Menu"
STRS_addaction_civmenu, "Interaction %1 (%2)", "Interaktion %1 (%2)"
STRS_action_hideoutowner, "Show Hideout Owner", "Besitzer dieses Hideouts"
STRS_addaction_gildenmenu, "Guild Menu", "Gilden Menue"
STRS_addaction_removesperre, "Remove Roadblock", "Sperre entfernen"
STRS_addaction_sirene, "Siren On/Off", "Sirene an/aus"
STRS_addaction_lock, "Lock/Unlock", "Ab-/Aufschliessen"
STRS_addaction_crimelog, "Crime Log", "Verbrechensverlauf"
STRS_addaction_trunk, "Trunk", "Kofferraum"
STRS_addaction_trunk_see, "View Trunk", "Kofferraum sehen"
STRS_addaction_trunk_check, "Check Trunk", "Kofferraum ueberpruefen"
STRS_addAction_copmenulite, "Cop Radio Menu", "Cop Funk Menue" //**********ADDED**********
STRS_addAction_holsterpistol, "Holster Pistol", "Pistole Holstern" // Added
STRS_addAction_unholsterpistol, "Pistol in Hand", "Pistole Rausholen" // Added
STRS_addAction_removeLicense, "Remove Civilian Licenses", "Entf. Lizenzen v. Buergern"
STRS_addAction_checkcivbanks, "Access Civilian Bank Accounts", "Zugriff auf Konten v. Buergern"
STRS_addAction_cellphonemenu, "Telephone-Menu", "Telefon-Menue"


// AIRPORT TRANSPORT
STRS_airtaxi_flag, "Airtaxi", "Airtaxi"

STRS_addAction_trans_to_bagango, "Airtaxi to Bagango (%1$ + %2$ tax)", "Airtaxi nach Bagango (%1$ + %2$ steuer)"
STRS_addAction_trans_to_mercalillo, "Airtaxi to Mercalillo (%1$ + %2$ tax)", "Airtaxi nach Mercalillo (%1$ + %2$ steuer)"
STRS_addAction_trans_to_pita, "Airtaxi to Pita (%1$ + %2$ tax)", "Airtaxi nach Pita (%1$ + %2$ steuer)"
STRS_addAction_trans_to_paraiso, "Airtaxi to Paraiso (%1$ + %2$ tax)", "Airtaxi nach Paraiso (%1$ + %2$ steuer)"
STRS_addAction_trans_to_rahmadi, "Airtaxi to Rahmadi (%1$ + %2$ tax)", "Airtaxi nach Rahmadi (%1$ + %2$ steuer)"
STRS_addAction_trans_to_corazol, "Airtaxi to Corazol-City (%1$ + %2$ tax)", "Airtaxi nach Corazol-City (%1$ + %2$ steuer)"
STRS_airtaxigesperrt, "You can't book a flight currently - wait 5 minutes after your last arrival for that", "Du kannst momentan keinen Flug buchen - warte dafuer 5 Minuten bis nach deiner letzten Ankunft"
STRS_airtaxi_bagango_start, "You have booked a flight to Bagango, your helicopter is on its way to you - please be patient until it arrives", "Du hast einen Flug nach Bagango gebucht, dein Helikopter ist auf dem Weg, bitte habe Geduld bis er ankommt"
STRS_airtaxi_mercalillo_start, "You have booked a flight to Mercalillo, your Helicopter is on its way to you - please be patient until it arrives", "Du hast einen Flug nach Mercalillo gebucht, dein Helikopter ist auf dem Weg, bitte habe Geduld bis er ankommt"
STRS_airtaxi_pita_start, "You have booked a flight to Pita, your helicopter is on its way to you - please be patient until it arrives", "Du hast einen Flug nach Pita gebucht, dein Helikopter ist auf dem Weg, bitte habe Geduld bis er ankommt"
STRS_airtaxi_paraiso_start, "You have booked a flight to Paraiso, your helicopter is on its way to you - please be patient until it arrives", "Du hast einen Flug nach Paraiso gebucht, dein Helikopter ist auf dem Weg, bitte habe Geduld bis er ankommt"
STRS_airtaxi_rahmadi_start, "You have booked a flight to Rahmadi, your helicopter is on its way to you - please be patient until it arrives. It can take very long (10mins+)", "Du hast einen Flug nach Rahmadi gebucht, dein Helikopter ist auf dem Weg, bitte habe Geduld bis er ankommt. Das kann lange dauern (10min+)"
STRS_airtaxi_corazol_start, "You have booked a flight to Corazol-City, your helicopter is on its way to you - please be patient until it arrives", "Du hast einen Flug nach Corazol-City gebucht, dein Helikopter ist auf dem Weg, bitte habe Geduld bis er ankommt"
STRS_airtaxi_terrorisland_start, "You have booked a flight to the Terrorisland, your helicopter is on its way to you - please be patient until it arrives", "Du hast einen Flug zur TerrorInsel  gebucht, dein Helikopter ist auf dem Weg, bitte habe Geduld bis er ankommt"
STRS_airtaxi_arrival, "You arrived at your choosen destination, please get off as soon as the helicopter lands", "Du bist am gewuenschten Ziel angekommen, bitte steige aus, sobald der Helikopter gelandet ist"
STRS_airtaxi_bagango_inuse, "The Airtaxi to Bagango is already in use, please try it again in 10 minutes", "Das Airtaxi nach Bagango ist bereits in Benutzung, bitte versuche es in ca. 10 minuten nochmal"
STRS_airtaxi_mercalillo_inuse, "The Airtaxi to Mercalillo is already in use, please try it again in 10 minutes", "Das Airtaxi nach Mercalillo ist bereits in Benutzung, bitte versuche es in ca. 10 minuten nochmal"
STRS_airtaxi_pita_inuse, "The Airtaxi to Pita is already in use, please try it again in 10 minutes", "Das Airtaxi nach Pita ist bereits in Benutzung, bitte versuche es in ca. 10 minuten nochmal"
STRS_airtaxi_paraiso_inuse, "The Airtaxi to Paraiso is already in use, please try it again in 10 minutes", "Das Airtaxi nach Paraiso ist bereits in Benutzung, bitte versuche es in ca. 10 minuten nochmal"
STRS_airtaxi_rahmadi_inuse, "The Airtaxi to Rahmadi is already in use, please try it again in 10 minutes", "Das Airtaxi nach Rahmadi ist bereits in Benutzung, bitte versuche es in ca. 10 minuten nochmal"
STRS_airtaxi_corazol_inuse, "The Airtaxi to Corazol is already in use, please try it again in 10 minutes", "Das Airtaxi nach Corazol ist bereits in Benutzung, bitte versuche es in ca. 10 minuten nochmal"

STRS_airtaxi_bagango_killed, "Someone either killed the Pilot from the Airtaxi to Bagango, or heavily damaged the Helicopter!", "Jemand hat entweder den Piloten des Airtaxis nach Bagango getoetet oder den Helikopter schwer beschaedigt!"
STRS_airtaxi_mercalillo_killed, "Someone either killed the Pilot from the Airtaxi to Mercalillo, or heavily damaged the Helicopter!", "Jemand hat entweder den Piloten des Airtaxis nach Mercalillo getoetet oder den Helikopter schwer beschaedigt!"
STRS_airtaxi_pita_killed, "Someone either killed the Pilot from the Airtaxi to Pita, or heavily damaged the Helicopter!", "Jemand hat entweder den Piloten des Airtaxis nach Pita getoetet oder den Helikopter schwer beschaedigt!"
STRS_airtaxi_paraiso_killed, "Someone either killed the Pilot from the Airtaxi to Paraiso, or heavily damaged the Helicopter!", "Jemand hat entweder den Piloten des Airtaxis nach Paraiso getoetet oder den Helikopter schwer beschaedigt!"
STRS_airtaxi_rahmadi_killed, "Someone either killed the Pilot from the Airtaxi to Rahmadi, or heavily damaged the Helicopter!", "Jemand hat entweder den Piloten des Airtaxis nach Rahmadi getoetet oder den Helikopter schwer beschaedigt!"
STRS_airtaxi_corazol_killed, "Someone either killed the Pilot from the Airtaxi to Corazol-City, or heavily damaged the Helicopter!", "Jemand hat entweder den Piloten des Airtaxis nach Corazol-City getoetet oder den Helikopter schwer beschaedigt!"




// CAM / DEADCAM
// ############################################################################008

STRS_camciv_nomoney, "You can't afford to watch a Civ.", "Du kannst es dir nicht leisten, einen Zivilisten zu beobachten."
STRS_civcam_notwanted, "You are watching %1. He is not wanted.", "Du beobachtest %1. Er wird nicht gesucht."
STRS_civcam_wanted, "You are watching %1. He is wanted.", "Du beobachtest %1. Er wird gesucht."

STRS_deadcam_deadwait_civ, "You have now died %1 time(s) and have to wait %2 seconds to respawn.", "Du bist jetzt %1 mal gestorben und musst %2 Sekunden auf deinen Respawn warten."
STRS_deadcam_deadwait_cop, "Because you killed %1 players during this game,\nyou have to wait %2 seconds to respawn.\n\nTo avoid a high respawn time, you should shock or arrest them instead of killing.", "Weil du waehrend dieses Spieles %1 Spieler getoetet hast,\nmusst du %2 Sekunden auf deinen Respawn warten.\n\nUm eine hohe Respawnzeit zu verhindern, solltest du sie lieber Schocken oder verhaften, anstatt sie zu toeten."





// CIVMENU / CIVMENU CHECK
// ############################################################################009

STRS_civmenu_stehlen_copzunah, "You cannot steal anything as a cop is near.", "Du kannst nichts tehlen, weil ein Cop in der naehe ist."
STRS_civmenu_stehlen, "You are stealing money from that Civ! Please wait five seconds to get the money.", "Du klaust money von diesem Civ! Warte 5 Sekunden um es zu bekommen."
STRS_civmenu_distance, "You are either too far away from the Civ or he is dead", "Du bist entweder von dem Civ zu weit weg oder er ist tot"
STRS_civmenu_wantedbonus, "That was a wanted person. You get a bonus of $%1", "Dies war eine gesuchte Person. Du bekommst einen Bonus von $%1."
STRS_civmenu_bounty, "On this person there were a bounty of $%1, which you'll get now.", "Auf diese Person war ein kopfgeld von $%1 ausgesetzt, welches du nun bekommst." 
STRS_civmenu_hasnodrugs, "The civ does not have any drugs.", "Der Civ hat keine Drogen."
STRS_civmenu_hasdrugs, "%1 had drugs, you removed them.", "%1 hatte Drogen, du hast sie entfernt."
STRS_civmenu_disarm, "You disarmed %1. If the Civ had no illegal objects/weapons, nothing has been taken away from him.", "Du hast %1 entwaffnet. Wenn der Civ keine illegalen Waffen/Objekte hatte, wurde ihm nichts weggenommen."
STRS_civmenu_buy_disarm_nomoney, "You cannot afford the removal of weapons.", "Du kannst dir das Entfernen von Waffen nicht leisten."
STRS_civmenu_disarm_notarmed, "The player is not armed.", "Der Spieler ist nicht bewaffnet."
STRS_civmenu_arrested, "You arrested %1.", "Du hast %1 verhaftet."
STRS_civmenu_ticketinuse, "You made a mistake while writing the ticket, please try again.", "Du hast einen Fehler waehrend des Schreibens des Tickets gemacht, bitte versuche es noch einmal."
STRS_civmenu_gaveticket, "You gave %1 a ticket of $%2.", "Du hast %1 einen Strafzettel ueber $%2 gegeben."
STRS_civmenu_didpayticket, "%1 paid the ticket of $%2.", "%1 hat die Strafe in hoehe von $%2 bezahlt."
STRS_civmenu_didpaynothing, "%1 chose not to pay the ticket.", "%1 hat sich entschieden, den Strafzettel nicht zu bezahlen."
STRS_civmenu_ticket_globalchat, "I gave a ticket of $%2 to %1.", "Ich habe %1 einen Strafzettel ueber $%2 gegeben."
STRS_civmenu_didnotpayticket, "%1 does not have enough money on his acount to pay the ticket of $%2, he has $%3 left to pay.", "%1 hatte nicht genug Geld auf seinem Konto, um die Strafe von $%2 zu bezahlen, er hat noch $%3 zu bezahlen."
STRS_civmenu_youdidnotpay, "You did not pay the ticket.", "Du hast die Strafe nicht gezahlt."
STRS_civmenu_copnotarmed, "You are not armed. You need a weapon for this action.", "Du bist nicht bewaffnet. Fuer diese Aktion ist eine Waffe noetig."
STRS_civmenu_heal, "You healed %1.", "Du hast %1 geheilt."

STRS_inventory_checknohands, "The Civ does not have his hands up and is not stunned!", "Der Civ hat die Haende nicht oben und ist nicht geschockt!"
STRS_inventory_checkstring, "His Licenses:\n\nHandgunlicense: %1\nRiflelicense: %2\nHeavygunlicense: %3\nSniperriflelicense: %4\n\nCarlicense: %5\nPickuplicense: %6\nTrucklicense: %7\nArmoredlicense: %8\nBoatlicense: %9\nAirlicense: %10\n\nIllegal Objects - Amount:\n\n%11", "Seine Lizenzen:\n\nHandfeuerwaffenlizenz: %1\nGewehrlizenz: %2\nSchwerewaffenlizenz: %3\nScharfschuetzenlizenz: %4\n\nAutolizenz: %5\nPickuplizenz: %6\nTrucklizenz: %7\nGepanzerte-Fahrzeugelizenz: %8\nBootlizenz: %9\nLuftvehikellizenz: %10\n\nIllegale Objekte - Anzahl:\n\n%11"

STRS_civmenucheck_beendisarmed, "You have been disarmed and your weapon(s) was/were confiscated. You can request your Weapon(s) back by asking at your local Policebase!", "Du wurdest entwaffnet und deine Waffe(n) wurden Konfisziert. Du kannst sie zurueckfordern indem du bei deiner naechsten Polizeidienststelle nachfragst!"
STRS_civmenucheck_beendrugsearched, "Your drugs have been removed.", "Deine Drogen wurden dir abgenommen."
STRS_civmenucheck_ticketrest, "You still owe the Cops $%1", "Sie schulden den Cops noch $%1"
STRS_civmenucheck_ticketself, "You got a ticket of $%1 and paid $%2. The Money has been withdrawed from your bank acount and will be transfered to the governement with your next paycheque", "Du hast einen Strafzettel ueber $%1 bekommen und $%2 bezahlt. Das Geld wurde von deinem Konto abgebucht und wird mit dem naechsten paycheque an die Regierung Ueberwiesen."
STRS_civmenucheck_youarehealed, "You were healed by the cop", "Du wurdest von dem Cop geheilt."
STRS_civmenucheck_removeddrugs, "A cop found your drugs and removed them.", "Ein Cop hat deine Drogen gefunden und sie entfernt."
STRS_civmenucheck_haddrugs, "%1 had Drugs!", "%1 hatte Drogen!"
STRS_civmenucheck_arrested_self, "You have been arrested for %1 Minutes. After that you will be teleported out.","Du wurdest verhaftet. Du musst hier fuer %1 Minute(n) bleiben. Danach kommst du hier raus und kannst in einen Helicopter einsteigen, der dich zurueck zur Hauptinsel bringen wird." 
STRS_civmenucheck_arrested_global, "%1 has been arrested!","%1 wurde verhaftet!" 
STRS_civmenucheck_free_global, "%1 is free again!","%1 ist wieder frei!" 
STRS_civmenucheck_free_self, "You are free now. Don't do anything wrong or you will be arrested again.","Du bist nun frei. Mach nichts falsches mehr oder du wirst wieder verhaftet."
STRS_civmenucheck_breakout, "%1 has escaped from jail!","%1 ist aus dem Gefaengnis ausgebrochen!"
STRS_civmenucheck_stolen, "You have stolen $%1 from that civ!", "Du hast $%1 von diesem Civ gestohlen!"
STRS_civmenucheck_stolenpub, "%1 has stolen $%2 from %3!", "%1 hat $%2 von %3 gestohlen!"
STRS_civmenucheck_stolen_fromciv, "you just got robbed by someone", "du wurdest gerade beklaut!"





// DIALOG_ANDERE
// ############################################################################010

STRS_dialogcivmenu_arrest, "Arrest for %1 min(s)", "Fuer %1 Min verhaften"
STRS_dialogcivmenu_ticket, "Ticket  $%1", "Strafzettel $%1"

STRS_dialogandere_bankdialog_you, "You", "Du selber"

STRS_dialogandere_gilden_keinleader, "You are not the Leader of a guild so you cannot use this menu", "Du bist nicht der Leader einer Gilde, daher kannst du nicht dieses Menue benutzen"

STRS_dialogandere_itemshop, "Your current Money is $%1", "Dein aktuelles money: $%1"





// money
// ############################################################################011


STRS_geld_countdown, "%1 Minute(s) until next Paycheque.", "%1 Minute(n) bis zum naechsten Gehaltsscheck."
STRS_geld_paycheckdead, "You missed a Paycheque because you are dead.", "Du hast einen Gehaltsscheck verpasst, weil du tot bist."
STRS_geld_terroristadd, "As a active Terrorist you won't receive any Paycheques! Remove the Terrorist Training to regain you normal Paycheques!", "Als aktiver Terrorist bekommst du keinen Gehaltsscheck! Entferne das Terroristen-Training um wieder welche zu bekommen!"

// COP INCOME MESSAGES
STRS_geld_CopBaseIncomemsg, "Default Income: %1$", "Grundgehalt: %1$"
STRS_geld_undercovermsg, " Income as Undercover-Officer: %1$", " Einkommen als Undercover-Officer: %1$"
STRS_geld_patrolmsg, ", Income as Patrol-Officer: %1$", ", Einkommen als Streifenpolizist: %1$"
STRS_geld_cromsg, ", Income as CRO: %1$", ", Einkommen als CRO: %1$"
STRS_geld_swatmsg, ", Income as SWAT-Officer: %1$", ", Einkommen als SWAT-Officer: %1$"
STRS_geld_bordermsg, ", Income as Border-Patrol-Officer: %1$", ", Einkommen als Border-Patrol-Officer: %1$"
STRS_geld_ChiefPoliceYESMoney, ", Income as Police-Chief: %1$", ", Einkommen Police-Chief: %1$"
STRS_geld_CopBaseIncomemsgNO, "Default Income: Not enough Tax-Money available!!!", "Grundgehalt: Nicht genug Steuergelder Vorhanden!!!"
STRS_geld_undercovermsgNO, " Income as Undercover-Officer: Not enough Tax-Money available!!!", " Einkommen als Undercover-Officer: Nicht genug Steuergelder Vorhanden!!!"
STRS_geld_patrolmsgNO, ", Income as Patrol-Officer: Not enough Tax-Money available!!!", ", Einkommen als Streifenpolizist: Nicht genug Steuergelder Vorhanden!!!"
STRS_geld_cromsgNO, ", Income as CRO: Not enough Tax-Money available!!!", ", Einkommen als CRO: Nicht genug Steuergelder Vorhanden!!!"
STRS_geld_swatmsgNO, ", Income as SWAT-Officer: Not enough Tax-Money available!!!", ", Einkommen als SWAT-Officer: Nicht genug Steuergelder Vorhanden!!!"
STRS_geld_bordermsgNO, ", Income as Border-Patrol-Officer: Not enough Tax-Money available!!!", ", Einkommen als Border-Patrol-Officer: Nicht genug Steuergelder Vorhanden!!!"
